"","PC","landmark","coordinate","loading","absolute_loading"
"PC1.1",1,1,"X",0.458754233088157,0.458754233088157
"PC1.2",1,12,"X",-0.308311576229178,0.308311576229178
"PC1.3",1,13,"Y",-0.245228444678609,0.245228444678609
"PC1.4",1,11,"X",-0.243982665454065,0.243982665454065
"PC1.5",1,4,"X",0.242667200527818,0.242667200527818
"PC2.1",2,1,"Y",-0.426846528606536,0.426846528606536
"PC2.2",2,13,"X",-0.346835022702976,0.346835022702976
"PC2.3",2,11,"X",0.331051569057621,0.331051569057621
"PC2.4",2,2,"X",0.304683739080096,0.304683739080096
"PC2.5",2,11,"Y",0.297163237488558,0.297163237488558
"PC3.1",3,7,"X",0.457173841597573,0.457173841597573
"PC3.2",3,8,"X",-0.370362597496483,0.370362597496483
"PC3.3",3,15,"Y",0.313962089248629,0.313962089248629
"PC3.4",3,6,"X",0.284469496998869,0.284469496998869
"PC3.5",3,14,"Y",0.259049960374228,0.259049960374228
"PC4.1",4,2,"X",0.404857227067727,0.404857227067727
"PC4.2",4,8,"X",-0.357651793113221,0.357651793113221
"PC4.3",4,11,"X",0.342404282024204,0.342404282024204
"PC4.4",4,8,"Y",-0.336786408327182,0.336786408327182
"PC4.5",4,11,"Y",-0.262863166695125,0.262863166695125
"PC5.1",5,15,"X",0.44218179796478,0.44218179796478
"PC5.2",5,8,"X",-0.409309514928249,0.409309514928249
"PC5.3",5,12,"Y",0.339278841861458,0.339278841861458
"PC5.4",5,13,"Y",0.27042243073275,0.27042243073275
"PC5.5",5,10,"Y",-0.259642080466586,0.259642080466586
