"","individual","precaudal_intervertebral_distance","caudal_intervertebral_distance","species_name"
"1","Abactochromis_labrosus_YPM-Ich-015189_8bit",-2.35986437720481,-2.3029756979661,"Abactochromis labrosus"
"2","Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a",-1.82924032674374,-2.41778960001515,"Alticorpus macrocleithrum"
"3","Astatotilapia_calliptera_NHMUK_1921_9_6_94_95_8bit_a",-2.78374199156578,-3.07304442658968,"Astatotilapia calliptera"
"4","Astatotilapia_calliptera_NHMUK_1957_11_29_16_26_8bit_a",-2.62008412285026,-2.64136633683848,"Astatotilapia calliptera"
"5","Astatotilapia_calliptera_NHMUK_1966_7_28_21_24_a",-0.989203216960965,-2.47752611041894,"Astatotilapia calliptera"
"6","Astatotilapia_calliptera_NHMUK_1966_7_28_21_24_b",-2.59414514229289,-3.517894138573,"Astatotilapia calliptera"
"7","Astatotilapia_gigliolii_BanUni_G12D10_8bit",-2.23720608352123,-2.3813464419106,"Astatotilapia gigliolii"
"8","Astatotilapia_sp_ruaha_blue_BanUni_AU13_8bit",-1.97950345616522,-2.93017201075196,"Astatotilapia sp"
"9","Aulonocara_nyassae_YPM_Ich_27961",-2.90370859732866,-3.27529289142519,"Aulonocara nyassae"
"10","Caprichromis_orthognathus_YPM-Ich-014341_8bit",-1.68762259509594,-2.16379638859408,"Caprichromis orthognathus"
"11","Cheilochromis_euchilus_CAMZM_D08-J06",-2.47161879431392,-2.47092705122451,"Cheilochromis euchilus"
"12","Chilotilapia_rhoadesii_CAMZM_D12-E06",-1.06328352817779,-1.36322613805354,"Chilotilapia rhoadesii"
"13","Chindongo_elongatus_CAMZM_D01-D02",-3.26420197022684,-3.24679746930062,"Chindongo elongatus"
"14","Copadichromis_chrysonotus_CAMZM_D10-G08",-1.72102954103777,-2.15407155664756,"Copadichromis chrysonotus"
"15","Copadichromis_likomae_NHMUK_1962_10_18_113_118_8bit_b",-3.28236247028228,-3.4746348256713,"Copadichromis likomae"
"16","Copadichromis_quadrimaculatus_NHMUK_1908_10_27_42_48_8bit_a",-2.12253515647714,-2.39754415242437,"Copadichromis quadrimaculatus"
"17","Copadichromis_trimaculatus_NHMUK_1962_10_18_129_136_8bit_b",-3.13122638905255,-3.52796085080927,"Copadichromis trimaculatus"
"18","Copadichromis_virginalis_NHMUK_1962_10_18_32_39_8bit_b",-2.89816022434368,-2.47123395358575,"Copadichromis virginalis"
"19","Ctenopharynx_intermedius_YPM-Ich-014528_8bit",-2.07422558094722,-2.07948688055151,"Ctenopharynx intermedius"
"20","Cynotilapia_afra_CAMZM_D28-A06",-2.59222678498981,-2.27747289615137,"Cynotilapia afra"
"21","Dimidiochromis_compressiceps_UniBri_213_8bit",-3.12757716260425,-2.94083709804664,"Dimidiochromis compressiceps"
"22","Diplotaxodon_aeneus_NHMUK_1996_4_30_17_20_8bit_a",-1.96761584790505,-2.58811940713012,"Diplotaxodon aeneus"
"23","Diplotaxodon_argenteus_NHMUK_1935_6_14_2281_2282_8bit",-2.19033473230109,-2.32512628954159,"Diplotaxodon argenteus"
"24","Diplotaxodon_limnothrissa_NHMUK_1992_3_25_2_17_8bit_a",-3.08034308713695,-3.06253009188034,"Diplotaxodon limnothrissa"
"25","Diplotaxodon_macrops_black_dorsal_UniBri_DRC090_8bit",-2.91761832156677,-2.5522892323417,"Diplotaxodon macrops"
"26","Diplotaxodon_macrops_ngulube_UniBri_DRC060_8bit",-2.12773526948352,-2.36580228053634,"Diplotaxodon macrops"
"27","Genyochromis_mento_NHMUK_1965_10_26_24_29_8bit_b",-2.13832104060271,-2.61107840063767,"Genyochromis mento"
"28","Gephyrochromis_moorii_YPM-Ich-028230_8bit",-2.16217232469648,-2.57025228219162,"Gephyrochromis moorii"
"29","Hemitilapia_oxyrhynchus_UniBri_40_8bit",-2.57201873814599,-2.72274433961867,"Hemitilapia oxyrhynchus"
"30","Iodotropheus_sprengerae_NHMUK_1971_9_8_7_8_8bit_a",-3.21922358419717,-3.10084521484792,"Iodotropheus sprengerae"
