"","PC","landmark","coordinate","loading","absolute_loading"
"PC1.1",1,1,"X",-0.42094862494545,0.42094862494545
"PC1.2",1,12,"X",0.312185483706744,0.312185483706744
"PC1.3",1,13,"Y",0.252669653888873,0.252669653888873
"PC1.4",1,1,"Y",0.250574196015341,0.250574196015341
"PC1.5",1,9,"Z",-0.223801339922969,0.223801339922969
"PC1.6",1,11,"X",0.221392450841572,0.221392450841572
"PC1.7",1,4,"X",-0.218023234035324,0.218023234035324
"PC1.8",1,14,"X",0.215893939024382,0.215893939024382
"PC1.9",1,2,"X",0.207017826948763,0.207017826948763
"PC1.10",1,6,"Y",-0.184581301700161,0.184581301700161
"PC2.1",2,8,"Y",0.566107800389921,0.566107800389921
"PC2.2",2,11,"Y",0.402083834111639,0.402083834111639
"PC2.3",2,2,"Y",0.308125616740834,0.308125616740834
"PC2.4",2,8,"X",0.241030351172314,0.241030351172314
"PC2.5",2,1,"Y",-0.23852669518047,0.23852669518047
"PC2.6",2,8,"Z",-0.227305903924972,0.227305903924972
"PC2.7",2,10,"Y",-0.225691189845958,0.225691189845958
"PC2.8",2,7,"X",-0.177073267827678,0.177073267827678
"PC2.9",2,11,"X",0.157912307983834,0.157912307983834
"PC2.10",2,1,"X",-0.116554340060377,0.116554340060377
"PC3.1",3,13,"X",-0.403207951038271,0.403207951038271
"PC3.2",3,1,"Y",-0.342393083245484,0.342393083245484
"PC3.3",3,3,"X",0.255769585635199,0.255769585635199
"PC3.4",3,12,"Y",0.247743534363311,0.247743534363311
"PC3.5",3,2,"X",0.241617627221695,0.241617627221695
"PC3.6",3,1,"X",-0.228037312060143,0.228037312060143
"PC3.7",3,6,"X",0.224142770345547,0.224142770345547
"PC3.8",3,14,"X",-0.222106761505338,0.222106761505338
"PC3.9",3,11,"X",0.208874567317139,0.208874567317139
"PC3.10",3,7,"X",0.205437957427042,0.205437957427042
"PC4.1",4,8,"Y",-0.574226081976887,0.574226081976887
"PC4.2",4,9,"Z",0.322105523680451,0.322105523680451
"PC4.3",4,11,"X",0.282148978219443,0.282148978219443
"PC4.4",4,2,"Y",0.281605261230722,0.281605261230722
"PC4.5",4,11,"Y",0.25981494224679,0.25981494224679
"PC4.6",4,2,"X",0.250691969065168,0.250691969065168
"PC4.7",4,9,"Y",0.154894955697375,0.154894955697375
"PC4.8",4,12,"Y",-0.153149760104239,0.153149760104239
"PC4.9",4,7,"X",-0.151638968999229,0.151638968999229
"PC4.10",4,14,"Y",-0.148690167598267,0.148690167598267
"PC5.1",5,15,"X",-0.498520960222274,0.498520960222274
"PC5.2",5,15,"Y",0.379406274797373,0.379406274797373
"PC5.3",5,12,"Y",-0.324731864360856,0.324731864360856
"PC5.4",5,9,"Y",0.262177428409841,0.262177428409841
"PC5.5",5,14,"Y",-0.23870181400235,0.23870181400235
"PC5.6",5,11,"X",-0.222201030469896,0.222201030469896
"PC5.7",5,8,"X",0.21036792454759,0.21036792454759
"PC5.8",5,7,"X",0.174894447637274,0.174894447637274
"PC5.9",5,4,"Y",0.154856125498253,0.154856125498253
"PC5.10",5,6,"X",0.147883937691464,0.147883937691464
