"","PC","landmark","coordinate","loading","absolute_loading"
"PC1.1",1,12,"Y",0.364316614550171,0.364316614550171
"PC1.2",1,12,"Z",-0.279757964341535,0.279757964341535
"PC1.3",1,11,"Y",0.258478604464371,0.258478604464371
"PC1.4",1,4,"Y",-0.25824736492903,0.25824736492903
"PC1.5",1,5,"Y",-0.244358082652042,0.244358082652042
"PC2.1",2,4,"X",-0.339999949946469,0.339999949946469
"PC2.2",2,3,"X",-0.336371216414072,0.336371216414072
"PC2.3",2,5,"X",-0.320432598615003,0.320432598615003
"PC2.4",2,2,"X",-0.310274337929508,0.310274337929508
"PC2.5",2,6,"X",-0.27971486367064,0.27971486367064
"PC3.1",3,4,"Z",0.317386769109265,0.317386769109265
"PC3.2",3,12,"Z",-0.305678266603061,0.305678266603061
"PC3.3",3,3,"Z",0.305124556624363,0.305124556624363
"PC3.4",3,5,"Z",0.287748299465792,0.287748299465792
"PC3.5",3,2,"Z",0.24441436096906,0.24441436096906
"PC4.1",4,1,"Z",-0.371702997225476,0.371702997225476
"PC4.2",4,2,"Y",-0.339103148509394,0.339103148509394
"PC4.3",4,1,"Y",-0.330041486978362,0.330041486978362
"PC4.4",4,12,"Z",-0.274896513631893,0.274896513631893
"PC4.5",4,2,"Z",-0.263937436772616,0.263937436772616
