species_name,genus,lm_ecology,depth,,piscivore,precaudal_count,caudal_count,total_count,ln_pc_ln_c,aspect_ratio,ln_length_ln_width,ln_ant_length_ln_width,ln_post_length_ln_width,n_count
Alticorpus macrocleithrum,Alticorpus,Deep Benthic,demersal,,non-piscivore,2.48490665,2.926416572,3.423057264,-0.441509922,2.43615194,0.888743339,-0.158075238,0.489637199,3
Astatotilapia calliptera,Astatotilapia,Astatotilapia,benthopelagic,,non-piscivore,2.565624788,2.815002841,3.391582267,-0.249378053,2.814561323,1.030840121,-0.149688008,0.67875405,57
Astatotilapia gigliolii,Astatotilapia,Astatotilapia,benthopelagic,,non-piscivore,2.564949357,2.772588722,3.36729583,-0.207639365,2.837033326,1.042749778,-0.188838615,0.708201276,2
Astatotilapia sp. 'Ruaha blue',Astatotilapia,Astatotilapia,benthopelagic,,non-piscivore,2.564949357,2.802901033,3.384246606,-0.237951676,2.707517819,0.995863841,-0.268715845,0.671754039,2
Chindongo elongatus,Chindongo,Mbuna,demersal,,non-piscivore,2.708050201,2.833213344,3.465735903,-0.125163143,3.13190801,1.141642407,-0.128472824,0.818302816,1
Copadichromis likomae,Copadichromis,Utaka,benthopelagic,,non-piscivore,2.770631773,2.888826162,3.526360525,-0.118194389,2.483227638,0.909433109,-0.350894773,0.580813533,2
Copadichromis quadrimaculatus,Copadichromis,Utaka,benthopelagic,,non-piscivore,2.716117516,2.882840557,3.496392725,-0.166723041,2.628782512,0.96475079,-0.352934164,0.644896746,8
Copadichromis trimaculatus,Copadichromis,Utaka,benthopelagic,,non-piscivore,2.679562182,2.878940075,3.478044566,-0.199377893,2.68988842,0.988566297,-0.238523369,0.639701006,5
Copadichromis virginalis,Copadichromis,Utaka,benthopelagic,,non-piscivore,2.662054953,2.833213344,3.444570104,-0.171158391,2.842090773,1.040139897,-0.270619968,0.663308804,3
Dimidiochromis compressiceps,Dimidiochromis,Shallow Benthic,benthopelagic,,piscivore,2.577300686,2.939933377,3.468300208,-0.362632691,3.068293833,1.120882909,0.050179425,0.707981864,12
