species_name,depth_min,depth_median,depth_max,Reference_notes
Alticorpus macrocleithrum,30,90,150,Maybe not enough bottom trawl sampling deeper.
Astatotilapia calliptera,0,4.5,9,Ribbink et al
Astatotilapia gigliolii,0,2.5,5,Max depth Lake Chilwa. May be shallower.
Astatotilapia sp. 'Ruaha blue',0,2.5,5,"Guess. It is mainly riverine, although found in artificial Mtera Reservoir."
Chindongo elongatus,0,28,56,Seegers 1996
Copadichromis likomae,0,25,50,guesstimate
Copadichromis quadrimaculatus,18,36.5,55,Eccles & Trewavas
Copadichromis trimaculatus,15,22.5,30,Turner 1996
Copadichromis virginalis,5,17.5,30,Is this virginalis or misidentified mloto? Mloto is 0-114m. Virginalis likely shallower (5-30?).
Dimidiochromis compressiceps,0,5,10,weed-associated
Diplotaxodon limnothrissa,20,120,220,Fishbase
Diplotaxodon macrops,76,102,128,Maybe not enough bottom trawl sampling deeper.
Genyochromis mento,2,13.5,25,Fishbase
Hemitilapia oxyrhynchus,0,10,20,Turner 1996
Iodotropheus sprengerae,0,20,40,Ribbink et al
Lethrinops albus,0,10,20,guesstimate
Lethrinops auritus,0,10,20,guesstimate
Lethrinops gossei,90,110,130,Maybe not enough bottom trawl sampling deeper.
Maylandia zebra,6,17,28,Fishbase
Nimbochromis linni,2,31.5,61,Fishbase
Nimbochromis livingstonii,0,57,114,Fishbase
Otopharynx speciosus,18,59,100,Turner 1996
Otopharynx tetrastigma,0,3.5,7,Konings
Pallidochromis tokolosh,50,100,150,Maybe not enough bottom trawl sampling deeper.
Petrotilapia genalutea,3,11.5,20,Fishbase
Placidochromis johnstoni,0,9,18,Turner 1996
Placidochromis milomo,4,19.5,35,Fishbase
Rhamphochromis esox,2,33.5,65,Fishbase
Rhamphochromis longiceps,0,74,148,ID may be dodgy- mixture of species?
Rhamphochromis woodi,20,85,150,guesstimate
Trematocranus placodon,0,16,32,pers obs that it can go shallow
Tropheops tropheops,0,2.5,5,Ribbink et al (as broad mouth)
Aulonocara nyassae,15,22.5,30,Turner 1996 (as blue-orange)
Cheilochromis euchilus,0,5,10,Konings
Chilotilapia rhoadesii,0,30,60,"Eccles & Trewavas (one record of 90m, but must be incredibly rare)"
Copadichromis chrysonotus,0,10,20,Turner 1996
Cynotilapia afra,3,16.5,30,Nearly all specimens recorded under this name are C. zebroides
Diplotaxodon aeneus,35,97.5,160,400m?? Nothing lives below 250m (unless it doesn’t need oxygen) Turner et al 2004 (sceptical of the 35m record)
Diplotaxodon argenteus,34,74,114,Fishbase
Mylochromis anaphyrmus,18,45,72,Turner 1996
Otopharynx lithobates,0,10,20,Oliver 2010
Protomelas spilopterus,0,16,32,Turner 1996
Rhamphochromis ferox,20,30,40,Recent samples
Stigmatochromis macrorhynchos,24,62,100,Turner 1996 (as guttatus)
Tramitichromis brevis,0,4.5,9,Turner 1996
Tyrannochromis macrostoma,0,20,40,Guesstimate
Nimbochromis polystigma,0,17.5,35,Fishbase
Placidochromis electra,0,25,50,Konings (cichlidroom)
Abactochromis labrosus,0,15,30,Fishbase
Caprichromis orthognathus,0,27.5,55,Eccles & Trewavas
Ctenopharynx intermedius,3,31.5,60,Fishbase
Gephyrochromis moorii,6,15.5,25,Fishbase
Lethrinops lethrinus,0,10,20,Fishbase
Melanochromis melanopterus,8,24,40,Fishbase
