specimen_id,species_name,standard_length_mm,ln_standard_length
Alticorpus_macrocleithrum_NHMUK_1984_10_22_2_5_8bit_a,Alticorpus macrocleithrum,121.367,4.798819013
Astatotilapia_calliptera_NHMUK_1921_9_6_94_95_8bit_a,Astatotilapia calliptera,76.2132,4.333534676
Astatotilapia_calliptera_NHMUK_1957_11_29_16_26_8bit_a,Astatotilapia calliptera,58.2692,4.065073652
Astatotilapia_calliptera_NHMUK_1966_7_28_21_24_8bit_a,Astatotilapia calliptera,66.4392,4.196287244
Astatotilapia_calliptera_NHMUK_1966_7_28_21_24_8bit_b,Astatotilapia calliptera,58.6865,4.072209717
Astatotilapia_gigliolii_BanUni_G12D10_8bit,Astatotilapia gigliolii,63.1834,4.146041608
Astatotilapia_sp_ruaha_blue_BanUni_AU13_8bit,Astatotilapia sp. 'Ruaha blue',79.4176,4.374720006
Chindongo_elongatus_CAMZM_D01-D02,Chindongo elongatus,59.6109,4.087838443
Copadichromis_likomae_NHMUK_1962_10_18_113_118_8bit_b,Copadichromis likomae,97.4266,4.579099274
Copadichromis_quadrimaculatus_NHMUK_1908_10_27_42_48_8bit_a,Copadichromis quadrimaculatus,134.6079,4.902366108
Copadichromis_trimaculatus_NHMUK_1962_10_18_129_136_8bit_a,Copadichromis trimaculatus,85.2526,4.445618614
Copadichromis_virginalis_NHMUK_1962_10_18_32_39_8bit_b,Copadichromis virginalis,81.0497,4.395062547
Dimidiochromis_compressiceps_UniBri_213_8bit,Dimidiochromis compressiceps,93.7649,4.54079059
Diplotaxodon_limnothrissa_NHMUK_1992_3_25_2_17_8bit_a,Diplotaxodon limnothrissa,100.5484,4.610639204
Diplotaxodon_sp_macrops_black_dorsal_UniBri_DRC090_8bit_b,Diplotaxodon macrops,108.4636,4.686414633
Diplotaxodon_sp_macrops_ngulube_UniBri_DRC060_8bit_a,Diplotaxodon macrops,103.2877,4.637518298
Genyochromis_mento_NHMUK_1965_10_26_24_29_8bit_b,Genyochromis mento,93.9181,4.542423126
Hemitilapia_oxyrhynchus_UniBri_40_8bit,Hemitilapia oxyrhynchus,83.8451,4.428971049
Iodotropheus_sprengerae_NHMUK_1971_9_8_7_8_8bit_a,Iodotropheus sprengerae,43.0505,3.762373845
Lethrinops_albus_NHMUK_1930_1_31_171_180_8bit_b,Lethrinops albus,110.6065,4.705978858
Lethrinops_auritus_NHMUK_1978_10_31_2_6_8bit_b,Lethrinops auritus,60.0941,4.095911667
Lethrinops_gossei_UniBri_refonly_8bit,Lethrinops gossei,102.8011,4.632796053
Maylandia_zebra_UniOxf_F0_Poseidon_8bit,Maylandia zebra,66.4526,4.196488912
Nimbochromis_linni_UniBri_440_8bit,Nimbochromis linni,113.2762,4.729829084
Nimbochromis_livingstonii_NHMUK_1896_10_5_25_8bit,Nimbochromis livingstonii,140.4249,4.944672826
Otopharynx_speciosus_NHMUK_1935_6_14_1649_8bit,Otopharynx speciosus,196.3804,5.280053595
Otopharynx_tetrastigma_NHMUK_1893_11_15_34_37_8bit_a,Otopharynx tetrastigma,76.7391,4.340411357
Pallidochromis_tokolosh_NHMUK_1994_8_11_5_16_8bit_b,Pallidochromis tokolosh,135.2288,4.906968159
Petrotilapia_genalutea_NHMUK_1981_2_2_222_226_8bit,Petrotilapia genalutea,98.7833,4.592928562
Placidochromis_johnstoni_UniBri_438_8bit,Placidochromis johnstoni,121.5477,4.800306778
Placidochromis_milomo_UniBri_206_8bit,Placidochromis milomo,124.538,4.82461089
Rhamphochromis_esox_NHMUK_1986_2_5_49_50_8bit_a,Rhamphochromis esox,193.8611,5.267141923
Rhamphochromis_longiceps_NHMUK_1935_6_14_2175_2176_8bit_a,Rhamphochromis longiceps,198.4014,5.290292251
Rhamphochromis_woodi_NHMUK_1935_6_14_2185_2187_8bit_b,Rhamphochromis woodi,193.3904,5.264710944
Trematocranus_placodon_UniBri_220_8bitf,Trematocranus placodon,150.9092,5.016678331
Tropheops_tropheops_NHMUK_2012_1_17_18_25_8bit_b,Tropheops tropheops,80.0477,4.382622707
Aulonocara_nyassae_YPM-Ich-27961,Aulonocara nyassae,62.0098,4.12729244
Cheilochromis_euchilus_CAMZM_D08-J06,Cheilochromis euchilus,96.5873,4.57044726
Chilotilapia_rhoadesii_CAMZM_D12-E06,Chilotilapia rhoadesii,158.6261,5.06654986
Copadichromis_chrysonotus_CAMZM_D10-G08,Copadichromis chrysonotus,92.585,4.52812714
Cynotilapia_afra_CAMZM_D28-A06,Cynotilapia afra,51.9703,3.9506724
Diplotaxodon_aeneus_NHMUK_1996_4_30_17_20_8bit_a,Diplotaxodon aeneus,118.1793,4.77220296
Diplotaxodon_argenteus_NHMUK_1935_6_14_2281_2282_8bit,Diplotaxodon argenteus,139.9403,4.9412159
Mylochromis_anaphyrmus_UniBri_132_8bit,Mylochromis anaphyrmus,68.4869,4.226642486
Otopharynx_lithobates_NHMUK_1974_7_5_2_3_8bit_b,Otopharynx lithobates,64.3078,4.16368093
Protomelas_spilopterus_UniBri_211_8bit,Protomelas spilopterus,101.208,4.61717781
Rhamphochromis_ferox_NHMUK_1935_6_14_2202_2207_8bit_a,Rhamphochromis ferox,85.2663,4.4457793
Stigmatochromis_macrorhynchos_UniBri_SG9_8bit,Stigmatochromis macrorhynchos,94.9151,4.55298281
Tramitichromis_brevis_YPM-Ich-007847,Tramitichromis brevis,89.5243,4.4945101
Tyrannochromis_macrostoma_UniBri_201_8bit,Tyrannochromis macrostoma,89.5363,4.49464413
Nimbochromis_polystigma_NHMUK_1921_9_6_102_107_8bit_b,Nimbochromis polystigma,155.8206,5.04870535
Placidochromis_electra_UniBri_439_8bit,Placidochromis electra,102.4475,4.62935047
Abactochromis_labrosus_YPM-Ich-015189_8bit,Abactochromis labrosus,95.6543,4.56074065
Caprichromis_orthognathus_YPM-Ich-014341_8bit,Caprichromis orthognathus,154.2673,5.038686812
Ctenopharynx_intermedius_YPM-Ich-014528_8bit,Ctenopharynx intermedius,112.3262,4.721407138
Gephyrochromis_moorii_YPM-Ich-028230_8bit,Gephyrochromis moorii,91.4792,4.516111624
Lethrinops_lethrinus_YPM-Ich-014443_8bit,Lethrinops lethrinus,139.4176,4.937473746
