species_name,genus,tribe,haplochromine,water_system,lm_ecology,mouthbrooder,depth,piscivore,precaudal_count,caudal_count,total_count,ln_pc_ln_c,aspect_ratio,ln_length_ln_width,ln_ant_length_ln_width,ln_post_length_ln_width,n_count
Abactochromis labrosus,Abactochromis,Haplochromini,Haplochromine,Lake Malawi,Mbuna,maternal_mouthbrooder,demersal,non-piscivore,2.564949357,2.772588722,3.36729583,-0.207639365,2.907249538,1.067207458,0.012359682,0.642689473,1
Alcolapia alcalica,Alcolapia,Oreochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.553514685,2.725294314,3.336682925,-0.171779629,2.843233963,1.04351802,-0.123323629,0.691049552,7
Alcolapia grahami,Alcolapia,Oreochromini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.568959548,2.699409351,3.329915081,-0.130449804,3.117307845,1.135553146,0.070064661,0.733057705,17
Alticorpus macrocleithrum,Alticorpus,Haplochromini,Haplochromine,Lake Malawi,Deep Benthic,maternal_mouthbrooder,pelagic,piscivore,2.48490665,2.926416572,3.423057264,-0.441509922,2.43615194,0.888743339,-0.158075238,0.489637199,3
Altolamprologus calvus,Altolamprologus,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.556945087,2.890062639,3.430708222,-0.333117552,2.611377994,0.959452051,-0.147822917,0.57106216,10
Altolamprologus compressiceps,Altolamprologus,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.556351613,2.895469361,3.433883092,-0.339117748,2.461202385,0.900109227,-0.173769061,0.501791005,10
"Altolamprologus sp. ""compressiceps shell""",Altolamprologus,Lamprologini,Other,Lake Tanganyika,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.48490665,2.890062639,3.401086209,-0.405155989,2.785060875,1.023838309,0.005092444,0.586837418,10
Anomalochromis thomasi,Anomalochromis,Hemichromini,Other,Riverine,not_applicable,substrate_brooder,benthopelagic,non-piscivore,2.488211918,2.572063418,3.224598804,-0.0838515,2.165151893,0.772144268,-0.374853998,0.400927197,20
Asprotilapia leptura,Asprotilapia,Ectodini,Other,Lake Tanganyika,not_applicable,biparental_mouthbrooder,demersal,non-piscivore,2.715221148,3.085643757,3.610836721,-0.370422609,4.435146613,1.489339259,0.170360776,1.201345123,9
Astatoreochromis alluaudi,Astatoreochromis,Basal Modern Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.538268455,2.852266149,3.401197382,-0.313997694,2.498644271,0.91387492,-0.280224834,0.560064091,3
Astatoreochromis straeleni,Astatoreochromis,Basal Modern Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.564949357,2.842162045,3.406477064,-0.277212688,2.645065375,0.972246379,-0.238628669,0.633712367,6
Astatotilapia bloyeti,Astatotilapia,Basal Modern Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.48490665,2.833213344,3.36729583,-0.348306694,2.621761377,0.963846373,-0.217954461,0.620983971,1
Astatotilapia burtoni,Astatotilapia,Haplochromini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.519210667,2.762809805,3.342230602,-0.243599138,2.35287999,0.855255888,-0.37084175,0.52273371,7
Astatotilapia calliptera,Astatotilapia,Haplochromini,Haplochromine,Lake Malawi,Astatotilapia,maternal_mouthbrooder,benthopelagic,non-piscivore,2.565624788,2.815002841,3.391582267,-0.249378053,2.814561323,1.030840121,-0.149688008,0.67875405,57
Astatotilapia gigliolii,Astatotilapia,Basal Modern Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.564949357,2.772588722,3.36729583,-0.207639365,2.837033326,1.042749778,-0.188838615,0.708201276,2
Astatotilapia paludinosa,Astatotilapia,Basal Modern Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.554944019,2.787500259,3.371459163,-0.23255624,2.722084291,0.999798978,-0.099485599,0.607676378,16
"Astatotilapia sp. ""mkuti""",Astatotilapia,Basal Modern Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.556351613,2.802901033,3.380856451,-0.24654942,2.84612502,1.045713353,-0.106355386,0.67703338,10
Astatotilapia sp. 'Ruaha blue',Astatotilapia,Basal Modern Haplochromini,Haplochromine,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.564949357,2.802901033,3.384246606,-0.237951676,2.707517819,0.995863841,-0.268715845,0.671754039,2
Astatotilapia stappersii,Astatotilapia,Haplochromini,Haplochromine,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.524928004,2.802901033,3.367097535,-0.27797303,2.51048432,0.918577083,-0.267522708,0.565502512,6
Aulonocara trematocephalum,Aulonocara,Haplochromini,Haplochromine,Lake Malawi,Deep Benthic,maternal_mouthbrooder,benthopelagic,non-piscivore,2.63905733,2.944438979,3.496507561,-0.30538165,3.104667534,1.132906635,-0.073371849,0.789958913,1
Aulonocranus dewindti,Aulonocranus,Ectodini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.641951048,2.896187103,3.470723274,-0.254236054,2.902029248,1.062894854,-0.047961289,0.674338474,17
Baileychromis centropomoides,Baileychromis,Limnochromini,Other,Lake Tanganyika,not_applicable,data_deficient,pelagic,non-piscivore,2.700384326,2.920100889,3.509775545,-0.219716562,4.497046224,1.502436672,0.314366615,1.143397014,9
Bathybates fasciatus,Bathybates,Bathybatini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,piscivore,2.886289014,3.090894721,3.687071039,-0.204605707,4.965758177,1.601654196,0.3079191,1.282563575,14
Bathybates ferox,Bathybates,Bathybatini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,piscivore,2.708050201,3.00061129,3.558165149,-0.292561089,4.144632933,1.421671033,0.241818129,1.059353031,10
Bathybates graueri,Bathybates,Bathybatini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,piscivore,2.695506043,2.963091086,3.531630986,-0.267585044,3.727882932,1.31482358,0.196696264,0.923308594,11
Bathybates hornii,Bathybates,Bathybatini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,piscivore,2.708050201,2.995732274,3.555348061,-0.287682072,4.276611798,1.45316106,0.24301733,1.102618422,1
Bathybates leo,Bathybates,Bathybatini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,piscivore,2.735709567,3.023612367,3.583518938,-0.2879028,4.237056893,1.443231559,0.242385478,1.086083377,7
Bathybates minor,Bathybates,Bathybatini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,piscivore,2.694251627,3.043818095,3.577725907,-0.349566468,3.343687117,1.206516602,-0.004075864,0.852668287,10
Bathybates vittatus,Bathybates,Bathybatini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,piscivore,2.746773314,3.005490306,3.577884763,-0.258716993,4.652032432,1.536418998,0.381050992,1.16184209,5
Benitochromis batesii,Benitochromis,Chromidotilapiini,Other,Riverine,not_applicable,maternal_mouthbrooder,benthopelagic,non-piscivore,2.502693918,2.630254766,3.262289908,-0.127560848,2.453920547,0.897462037,-0.24137721,0.530290918,9
"Benitochromis sp. ""unknown""",Benitochromis,Chromidotilapiini,Other,Riverine,not_applicable,data_deficient,benthopelagic,data_deficient,2.524928004,2.602003344,3.257356345,-0.07707534,2.621528226,0.959076584,-0.186424863,0.597683089,2
Benthochromis horii,Benthochromis,Benthochromini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,non-piscivore,2.85607671,2.980344285,3.613438592,-0.124267576,3.530787033,1.260897212,-0.070161489,0.953846118,10
Benthochromis melanoides,Benthochromis,Benthochromini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,non-piscivore,2.838929185,2.938477472,3.583364558,-0.099548286,3.633484973,1.289944887,-0.04637911,0.985130393,10
"Benthochromis sp. ""horii mahale""",Benthochromis,Benthochromini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,non-piscivore,2.844298406,3.010369323,3.624252036,-0.166070917,3.688932429,1.304921564,-0.026887071,0.998897892,10
Benthochromis tricoti,Benthochromis,Benthochromini,Other,Lake Tanganyika,not_applicable,maternal_mouthbrooder,pelagic,non-piscivore,2.815025958,2.970085626,3.588844353,-0.155059669,3.544843507,1.264967782,-0.04984173,0.952492169,10
Boulengerochromis microlepis,Boulengerochromis,Boulengerochromini,Other,Lake Tanganyika,not_applicable,substrate_brooder,pelagic,piscivore,2.76613487,2.884655917,3.520389932,-0.118521046,3.44061368,1.235284222,-0.011083512,0.905536311,10
Buccochromis atritaeniatus,Buccochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,piscivore,2.63905733,2.908394165,3.475993122,-0.269336835,2.716425136,0.998144642,-0.150027296,0.635897808,3
Buccochromis heterotaenia,Buccochromis,Haplochromini,Haplochromine,Lake Malawi,Shallow Benthic,maternal_mouthbrooder,benthopelagic,piscivore,2.652855904,2.85563955,3.452906152,-0.202783646,2.644467533,0.969573528,-0.210115948,0.61746045,15
